Date,btc,w5000,gdp,buffet,환율,채권(USD),금가격,경제성장률(USD),기준금리(USD),통화량(USD),소비자물가지수(USD),생산자물가지수(USD),물가상승률(USD),ym
2010-07-27,0.06,11697.3896484375,15141.607,0.7725329054199795,1181.0,66.4626235961914,1183.82,3.1,0.18,8639.8,217.605,184.1,0.0,2010-07
2010-07-28,0.0589,11602.5400390625,15141.607,0.7662687348220371,1185.4000244140625,66.67821502685547,1161.12,3.1,0.18,8639.8,217.605,184.1,0.0,2010-07
2010-07-29,0.0699,11558.349609375,15141.607,0.7633502579597397,1184.300048828125,66.65798950195312,1164.17,3.1,0.18,8639.8,217.605,184.1,0.0,2010-07
2010-07-30,0.0627,11568.3701171875,15141.607,0.7640120442425629,1184.0999755859375,67.69554901123047,1166.57,3.1,0.18,8639.8,217.605,184.1,0.0,2010-07
2010-07-31,0.0679,11568.3701171875,15141.607,0.7640120442425629,1184.0999755859375,67.69554901123047,1166.57,3.1,0.18,8639.8,217.605,184.1,0.0,2010-07
2010-08-01,0.0611,11568.3701171875,15141.607,0.7640120442425629,1184.0999755859375,67.69554901123047,1166.57,3.1,0.19,8688.2,217.923,184.9,0.1,2010-08
2010-08-02,0.06,11809.2099609375,15141.607,0.7799178753574505,1172.199951171875,66.74516296386719,1180.86,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-03,0.06,11743.16015625,15141.607,0.7755557356791786,1171.699951171875,67.13045501708984,1181.83,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-04,0.057,11827.330078125,15141.607,0.7811145856661713,1171.5999755859375,66.6167984008789,1189.32,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-05,0.061,11797.599609375,15141.607,0.7791510907247163,1167.300048828125,66.92765808105469,1196.06,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-06,0.0623,11754.4404296875,15141.607,0.7763007209001991,1163.699951171875,67.65767669677734,1194.11,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-07,0.059,11754.4404296875,15141.607,0.7763007209001991,1163.699951171875,67.65767669677734,1194.11,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-08,0.0609,11754.4404296875,15141.607,0.7763007209001991,1163.699951171875,67.65767669677734,1194.11,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-09,0.071,11827.01953125,15141.607,0.7810940761604762,1160.0999755859375,67.40757751464844,1204.77,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-10,0.07,11730.580078125,15141.607,0.7747249072126228,1160.5,67.549560546875,1201.06,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-11,0.067,11384.1904296875,15141.607,0.7518482304875236,1159.699951171875,68.45523834228516,1203.2,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-12,0.07,11326.0400390625,15141.607,0.748007793298459,1186.300048828125,68.28626251220703,1200.88,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
2010-08-13,0.0645,11275.33984375,15141.607,0.744659390760175,1188.5,69.13793182373047,1213.26,3.1,0.19,8688.2,217.923,184.9,0.0,2010-08
