,index,Date_x,Close,w5000,Adj Close_TLT,금가격,경제성장률,물가상승률,반감기,수익률,누적수익률,log수익률,log누적수익률,구분,w_수익률,w_log수익률,w_log누적수익률,전체_수익률,전체_log수익률,전체_log누적수익률,w5000_수익률,w5000_log수익률,w5000_log누적수익률
0,0,2010-07,0.06388,11317.559988839286,67.6730215890067,1168.45,3.1,0.2,0차,,,,,상승,,,,,,,,,
1,1,2010-08,0.0645483870967741,11386.556773792614,70.22092264348811,1214.211290322581,3.1,0.1,0차,0.010463166824892,1.010463166824892,0.010408806751774,0.010408806751774,상승,0.0060964364245799,0.0060779283401884,0.0060779283401884,0.010463166824892012,0.010408806751774056,0.010408806751774056,0.00609643642457991,0.010408806751774056,0.010408806751774056
2,2,2010-09,0.0618833333333333,11779.07082403274,70.75518399193173,1268.562,3.1,0.2,0차,-0.0412876894885881,0.9687434773533704,-0.0421642381436068,-0.0317554313918328,상승,0.03447170712252,0.0338908685037191,0.0399687968439076,-0.041287689488588186,-0.042164238143606876,-0.03175543139183282,0.03447170712252001,-0.042164238143606876,-0.03175543139183282
3,3,2010-10,0.108774193548387,12344.409923735118,69.87438092912946,1341.1583870967745,2.1,0.3,0차,0.7577300331007875,1.7027895045145116,0.5640232226816201,0.5322677912897873,상승,0.0479952203486986,0.0468790251524756,0.0868478219963832,0.7577300331007875,0.5640232226816201,0.5322677912897873,0.04799522034869863,0.5640232226816201,0.5322677912897873
4,4,2010-11,0.2593266666666666,12685.422758556548,66.63942318870907,1373.7646666666667,2.1,0.3,0차,1.384082641360223,4.059590899603422,0.8688144136023797,1.401082204892167,상승,0.0276248793525359,0.0272501970859798,0.114098019082363,1.384082641360223,0.8688144136023797,1.401082204892167,0.02762487935253599,0.8688144136023797,1.401082204892167
5,5,2010-12,0.2438064516129032,13183.212269176136,64.33580728010698,1388.416451612903,2.1,0.4,0차,-0.0598481261231524,3.816631991435554,-0.0617138488146905,1.3393683560774765,과열,0.0392410659143243,0.0384907024471432,0.1525887215295063,-0.05984812612315249,-0.061713848814690574,1.3393683560774763,0.0392410659143243,-0.061713848814690574,1.3393683560774763
6,6,2011-01,0.3691741935483871,13604.521533203126,63.44687232971192,1364.5845161290324,-0.9,0.3,0차,0.5142101084943107,5.779182741834488,0.4148939224634327,1.754262278540909,과열,0.0319580126167018,0.0314579807827633,0.1840467023122696,0.5142101084943107,0.41489392246343276,1.754262278540909,0.031958012616701836,0.41489392246343276,1.754262278540909
7,7,2011-02,0.9263928571428572,14008.043636924342,62.34635403281764,1369.2728571428572,-0.9,0.3,0차,1.5093651542613484,14.502079792468022,0.9200297945632642,2.6742920731041733,과열,0.0296608816955732,0.0292295069575441,0.2132762092698137,1.5093651542613484,0.9200297945632642,2.6742920731041733,0.029660881695573238,0.9200297945632642,2.6742920731041733
8,8,2011-03,0.8559870967741935,13835.577445652174,63.890073029891305,1420.4290322580646,-0.9,0.5,0차,-0.0759998955365505,13.399923243177732,-0.079043094284778,2.595248978819395,과열,-0.0123119398927026,-0.0123883597233874,0.2008878495464263,-0.07599989553655051,-0.07904309428477801,2.595248978819395,-0.012311939892702628,-0.07904309428477801,2.595248978819395
9,9,2011-04,1.2478699999999998,14152.4630859375,64.25694561004639,1477.479,2.7,0.5,0차,0.457814030962179,19.534596117720724,0.3769380746707753,2.9721870534901704,과열,0.0229036801340667,0.0226453282200432,0.2235331777664695,0.457814030962179,0.37693807467077534,2.9721870534901704,0.02290368013406674,0.37693807467077534,2.9721870534901704
10,10,2011-05,6.225158064516129,14189.74367559524,66.77818952287946,1509.3348387096771,2.7,0.3,0차,3.988627072143837,97.4508150362575,1.6071607360636988,4.57934778955387,하락,0.0026342121107374,0.0026307486549999,0.2261639264214695,3.988627072143837,1.6071607360636988,4.57934778955387,0.002634212110737444,1.6071607360636988,4.57934778955387
11,11,2011-06,18.067876666666667,13654.12548828125,67.69939145174894,1529.9703333333334,2.7,0.0,0차,1.902396449923887,282.8408996034231,1.065536757786019,5.644884547339888,하락,-0.0377468543166986,-0.0384777177321193,0.1876862086893502,1.902396449923887,1.065536757786019,5.644884547339888,-0.037746854316698664,1.065536757786019,5.644884547339888
12,12,2011-07,14.023535483870967,14079.357861328124,67.54898834228516,1567.9280645161289,-0.1,0.3,0차,-0.2238415314322509,219.52935948451736,-0.2533985675755236,5.391485979764365,하락,0.0311431422987751,0.0306680337088066,0.2183542423981568,-0.22384153143225094,-0.2533985675755236,5.391485979764365,0.03114314229877513,-0.2533985675755236,5.391485979764365
13,13,2011-08,9.982903225806451,12490.01609205163,75.23856221074644,1754.5709677419354,-0.1,0.3,0차,-0.2881322090789309,156.2758801785606,-0.3398630717207205,5.051622908043645,하락,-0.112884535284237,-0.1197801307186245,0.0985741116795322,-0.2881322090789309,-0.33986307172072056,5.051622908043645,-0.11288453528423703,-0.33986307172072056,5.051622908043645
14,14,2011-09,5.930853333333333,12340.953357514882,81.79403541201637,1787.0556666666666,-0.1,0.2,0차,-0.4058989455089884,92.84366520559384,-0.5207058486834345,4.530917059360211,하락,-0.0119345510396586,-0.0120063395413134,0.0865677721382187,-0.4058989455089884,-0.5207058486834345,4.530917059360211,-0.01193455103965868,-0.5207058486834345,4.530917059360211
15,15,2011-10,3.6309,12660.232468377975,82.59255727132161,1664.0816129032255,4.6,0.1,0차,-0.3877946737287945,56.839386349405146,-0.4906875522943535,4.040229507065857,하락,0.0258715110262264,0.0255425059883732,0.112110278126592,-0.3877946737287945,-0.4906875522943535,4.040229507065857,0.025871511026226424,-0.4906875522943535,4.040229507065857
16,16,2011-11,2.681773333333333,12893.61509486607,84.56689889090401,1736.4013333333337,4.6,0.2,0차,-0.2614025907258991,41.98142350240033,-0.3030022841868028,3.737227222879054,하락,0.018434308143316,0.0182664559726051,0.1303767340991971,-0.2614025907258991,-0.3030022841868028,3.737227222879054,0.018434308143316036,-0.3030022841868028,3.737227222879054
17,17,2011-12,3.485409677419355,13050.970470610118,85.54097457159133,1646.563870967742,4.6,0.0,0차,0.2996660210231621,54.5618296402529,0.262107324555999,3.999334547435053,하락,0.0122041316253269,0.012130261616547,0.1425069957157441,0.2996660210231621,0.262107324555999,3.999334547435053,0.012204131625326964,0.262107324555999,3.999334547435053
