,ds,y
0,2010-07-28,0.06
1,2010-07-29,0.0589
2,2010-07-30,0.0699
3,2010-07-31,0.0627
4,2010-08-01,0.0679
5,2010-08-02,0.0611
6,2010-08-03,0.06
7,2010-08-04,0.06
8,2010-08-05,0.057
9,2010-08-06,0.061
10,2010-08-07,0.0623
11,2010-08-08,0.059
12,2010-08-09,0.0609
13,2010-08-10,0.071
14,2010-08-11,0.07
15,2010-08-12,0.067
16,2010-08-13,0.07
17,2010-08-14,0.0645
18,2010-08-15,0.067
19,2010-08-16,0.0653
20,2010-08-17,0.0655
21,2010-08-18,0.07
22,2010-08-19,0.068
23,2010-08-20,0.0667
24,2010-08-21,0.0655
25,2010-08-22,0.0664
26,2010-08-23,0.066
27,2010-08-24,0.0649
28,2010-08-25,0.065
29,2010-08-26,0.0648
30,2010-08-27,0.064
31,2010-08-28,0.065
32,2010-08-29,0.0641
33,2010-08-30,0.064
34,2010-08-31,0.065
35,2010-09-01,0.06
36,2010-09-02,0.0629
37,2010-09-03,0.0634
38,2010-09-04,0.0609
39,2010-09-05,0.0624
40,2010-09-06,0.0616
41,2010-09-07,0.0616
42,2010-09-08,0.061
43,2010-09-09,0.062
44,2010-09-10,0.0611
45,2010-09-11,0.0618
46,2010-09-12,0.0637
47,2010-09-13,0.0615
48,2010-09-14,0.0622
49,2010-09-15,0.062
50,2010-09-16,0.0604
51,2010-09-17,0.0619
52,2010-09-18,0.059
53,2010-09-19,0.061
54,2010-09-20,0.0627
55,2010-09-21,0.0621
56,2010-09-22,0.0627
57,2010-09-23,0.0622
58,2010-09-24,0.0623
59,2010-09-25,0.0622
60,2010-09-26,0.062
61,2010-09-27,0.062
62,2010-09-28,0.0622
63,2010-09-29,0.0619
64,2010-09-30,0.0619
65,2010-10-01,0.0619
66,2010-10-02,0.062
67,2010-10-03,0.0614
68,2010-10-04,0.0611
69,2010-10-05,0.0613
70,2010-10-06,0.0614
71,2010-10-07,0.0628
72,2010-10-08,0.067
73,2010-10-09,0.0869
74,2010-10-10,0.0938
75,2010-10-11,0.0965
76,2010-10-12,0.095
77,2010-10-13,0.0949
78,2010-10-14,0.105
79,2010-10-15,0.102
80,2010-10-16,0.105
81,2010-10-17,0.101
82,2010-10-18,0.102
83,2010-10-19,0.1024
84,2010-10-20,0.097
85,2010-10-21,0.099
86,2010-10-22,0.107
87,2010-10-23,0.1025
88,2010-10-24,0.1055
89,2010-10-25,0.115
90,2010-10-26,0.132
91,2010-10-27,0.1503
92,2010-10-28,0.1877
93,2010-10-29,0.1731
94,2010-10-30,0.19
95,2010-10-31,0.1989
96,2010-11-01,0.1925
97,2010-11-02,0.1955
98,2010-11-03,0.1938
99,2010-11-04,0.1931
100,2010-11-05,0.23
101,2010-11-06,0.26
102,2010-11-07,0.39
103,2010-11-08,0.34
104,2010-11-09,0.243
105,2010-11-10,0.21
106,2010-11-11,0.24
107,2010-11-12,0.2231
108,2010-11-13,0.2682
