,ds,yhat,yhat_lower,yhat_upper
0,2016-07-10,-844.1719900945259,-8333.763867296579,6370.896205798377
1,2016-07-11,-831.17834992077,-7622.452357994074,6188.451850400266
2,2016-07-12,-817.5006206993094,-8787.511220139048,6930.652111231848
3,2016-07-13,-801.9082838261622,-8435.62244883803,6519.049037389748
4,2016-07-14,-787.5511575606777,-8510.975545095092,7039.913610623671
5,2016-07-15,-771.789243496399,-7818.750612259303,6692.285510978654
6,2016-07-16,-758.1630782090574,-7664.13760750272,5673.318609278313
7,2016-07-17,-742.7159289964114,-8238.782742458001,6502.313778462523
8,2016-07-18,-730.147177993543,-8020.910313379871,7005.3432345302635
9,2016-07-19,-717.9009091712342,-7293.82565061617,5578.412516311143
10,2016-07-20,-704.8309433142373,-6765.768231958847,6543.390301496692
11,2016-07-21,-693.9146984047787,-8374.36252585801,5499.603839115992
12,2016-07-22,-682.6132562152183,-7661.554169769327,7099.388023573512
13,2016-07-23,-674.2140763771046,-7178.723755602192,6098.95495309489
14,2016-07-24,-664.8786579570976,-9726.971373532657,6261.808726005348
15,2016-07-25,-658.9371490600884,-6614.447030059044,6349.0661826943015
16,2016-07-26,-653.8322700029494,-7840.655948511239,8534.790146962243
17,2016-07-27,-648.3259905273682,-7650.616278830427,6277.541551307638
18,2016-07-28,-645.0642501285481,-9952.735659075499,6979.894026383941
19,2016-07-29,-641.4727975004607,-7388.155882662975,6993.368757473237
20,2016-07-30,-640.4770582784357,-9139.555265575496,5760.498518205037
21,2016-07-31,-638.2791233475258,-8416.20472192512,5693.4071170293155
22,2016-08-01,-638.7963798964976,-7537.641261003946,5936.194189749769
23,2016-08-02,-639.4624061167153,-8328.125216330494,6980.92611197896
24,2016-08-03,-638.9757117413956,-6730.937515544362,6892.363232515299
25,2016-08-04,-639.7145151093896,-7685.516938553248,6263.10063635008
26,2016-08-05,-639.1663614780198,-6812.564557059319,6798.451984619714
27,2016-08-06,-640.0220351583173,-7752.94335516709,8265.289944230042
28,2016-08-07,-638.6777642866408,-8484.11667918466,6551.37264226478
29,2016-08-08,-638.8129107135793,-7580.108608254283,6005.4088071575425
30,2016-08-09,-638.0421985526762,-7888.049375663099,7040.555559441429
31,2016-08-10,-635.2004045857931,-7679.106746637769,6927.159729076424
32,2016-08-11,-632.6008167123708,-7434.263978848114,7758.9931165978105
33,2016-08-12,-627.992214597308,-7600.841749716699,7078.90983717698
34,2016-08-13,-624.020588055272,-9475.778517658193,7378.807173321321
35,2016-08-14,-617.4507091637666,-6438.02795463185,5325.532945472195
36,2016-08-15,-611.8776152078551,-6327.237811397,6991.215370609361
37,2016-08-16,-605.225659970461,-9073.163870074442,7266.209713190145
38,2016-08-17,-596.5655401461172,-9074.608485356253,6310.445103404685
39,2016-08-18,-588.2138277631719,-7916.052152139693,5890.869305801061
40,2016-08-19,-578.2157846482219,-8584.978506646732,5022.561089769915
41,2016-08-20,-569.1744711473181,-8076.862557959051,5413.703679496016
42,2016-08-21,-558.1923766899646,-8749.968534535677,7809.547148007915
43,2016-08-22,-548.7184498986053,-6439.482645735596,7958.250624252593
44,2016-08-23,-538.8967094969868,-7108.515524840674,7119.382691625888
45,2016-08-24,-527.9192134283335,-8251.190534907002,6223.846086994776
46,2016-08-25,-517.9710007079544,-7928.5907642272205,6163.871983064494
47,2016-08-26,-507.2436402906503,-8064.534049351989,7285.616274932832
48,2016-08-27,-498.1370158841333,-8301.651754618291,7731.764233754205
49,2016-08-28,-487.92649631281046,-6865.503898495153,6961.111700187553
50,2016-08-29,-479.7509974779568,-7164.235424129,6206.169130807886
51,2016-08-30,-471.81645285896934,-7554.607507956413,5669.925546952557
52,2016-08-31,-463.28966336146635,-8695.141751768764,5907.8624231821
53,2016-09-01,-456.0930643219368,-7353.669790991566,6361.245183189545
54,2016-09-02,-448.45276406528825,-6728.121085566424,6244.1235213375885
55,2016-09-03,-442.47598817350786,-7713.335444017233,6657.770756906982
56,2016-09-04,-435.5459196067827,-7358.207763867365,5992.864383275824
57,2016-09-05,-430.45201978681814,-7754.252567324344,6057.394154232955
58,2016-09-06,-425.4486671919538,-7480.542551981452,6625.601556745966
59,2016-09-07,-419.6892945239838,-7105.9859433819565,6455.073333930741
60,2016-09-08,-414.86953391684955,-7814.212267589232,6488.729976439571
61,2016-09-09,-409.3075220442881,-10006.948582894784,6305.651935955784
62,2016-09-10,-404.89410729049183,-7201.914565023986,7062.657875713813
63,2016-09-11,-399.2119134905396,-7331.034225084118,6398.269902421513
64,2016-09-12,-394.80406426172556,-7419.179858324855,7345.3452605382945
65,2016-09-13,-390.08387444038374,-7158.652616188292,7075.8167432229275
66,2016-09-14,-384.3050550743081,-7281.421630993354,6838.380382741194
67,2016-09-15,-379.04906724004195,-7015.457325500353,6474.4700662943
68,2016-09-16,-372.83372156220514,-6137.549933184675,5954.965041471746
69,2016-09-17,-367.43250938969294,-7036.3393007351415,7096.420094885787
70,2016-09-18,-360.71470389385837,-6403.276279855765,6428.556140405957
71,2016-09-19,-355.04985312424384,-6968.710838038805,5852.6611055045805
72,2016-09-20,-349.06651728699194,-7694.60610013453,6024.345971951297
73,2016-09-21,-342.1572124590967,-6878.593246730643,5947.666991887189
74,2016-09-22,-335.8093456858254,-7751.773529251463,6321.43812445082
75,2016-09-23,-328.7421806673726,-8670.554388612807,5628.226380839248
76,2016-09-24,-322.5960354424845,-6302.014205224258,7386.087447688969
77,2016-09-25,-315.494781954786,-8252.069757370153,5945.179913959902
78,2016-09-26,-309.5880143046279,-8611.37412636495,6497.924397335333
79,2016-09-27,-303.6611927391187,-6597.28637393765,7208.052906434128
80,2016-09-28,-297.1780366473167,-7542.035864560087,5896.946597495347
81,2016-09-29,-291.4579870878337,-7707.472715121505,9544.384433166624
82,2016-09-30,-285.3446014878831,-6444.781820644451,7638.09573602902
83,2016-10-01,-280.2676783067523,-7894.425256626502,7876.185743889965
84,2016-10-02,-274.5310984285954,-8696.720892374333,7166.337127445743
85,2016-10-03,-269.9953886311679,-8492.772346042091,5577.572274061103
86,2016-10-04,-265.5416750083405,-8920.732083816501,6748.09447649223
87,2016-10-05,-260.65353212174136,-7531.99702675065,7069.451510854858
88,2016-10-06,-256.4425233315013,-8373.311854763995,6081.762679863563
89,2016-10-07,-251.84907731702876,-9322.33671172992,6412.810062618974
90,2016-10-08,-248.07807440233336,-6439.960694673874,7878.516763025812
91,2016-10-09,-243.61204634835855,-6180.072663682113,6308.864679685606
92,2016-10-10,-240.03365339077487,-6940.07772457727,7262.185868689624
93,2016-10-11,-236.34250552593727,-7772.6360194710605,7045.211447505882
94,2016-10-12,-232.0751209141545,-6881.08603122203,6550.749092302736
95,2016-10-13,-228.17685995647432,-7774.611004160473,6599.378483367855
96,2016-10-14,-223.73334107420695,-8351.51520783573,5973.166525760151
97,2016-10-15,-219.77737330005502,-6828.110729987856,7283.137419332036
98,2016-10-16,-215.0253153356981,-7896.389762937127,8864.301296736838
99,2016-10-17,-210.8372721860574,-6896.876077934692,7592.625281995269
100,2016-10-18,-206.3846813348652,-7374.20984680122,7905.961277060061
101,2016-10-19,-201.3064436010318,-6989.548522349356,7566.288974365741
102,2016-10-20,-196.42555510255312,-6518.999110292692,5847.142990605912
103,2016-10-21,-191.00965753196883,-7031.253973533408,7536.385762565908
104,2016-10-22,-185.9482489723646,-7341.078634476452,6898.1115414683045
105,2016-10-23,-180.21149751959317,-7389.351457844282,7348.411169815982
106,2016-10-24,-174.94782802171343,-8037.463059301303,7673.052156775309
107,2016-10-25,-169.5023135173941,-7126.46615169216,6596.581345205
108,2016-10-26,-163.6093766091279,-7970.848800459836,6403.395211546757
109,2016-10-27,-157.95483033791004,-8198.276256012321,5384.80741274227
110,2016-10-28,-151.96655550277134,-7417.477232230508,6408.499294439271
111,2016-10-29,-146.3632044750292,-7811.740194051815,7723.231219305678
112,2016-10-30,-140.33684731051133,-7598.265274156958,6561.950040569855
113,2016-10-31,-134.7894255509092,-7357.298543767131,7453.934764434062
114,2016-11-01,-129.20345983581052,-6653.623409258281,6137.82374448811
115,2016-11-02,-123.37279954213562,-7020.870169573233,6386.103599265874
116,2016-11-03,-117.81146335494608,-8471.625353269135,6050.324075379212
117,2016-11-04,-112.07568780192666,-7307.707904689668,7265.501018938884
118,2016-11-05,-106.68517977424366,-6344.430145225169,7058.781971197817
119,2016-11-06,-101.03042694936786,-7142.764935776258,6987.700980998701
120,2016-11-07,-95.74860302741786,-10355.737351796608,6463.140667100871
121,2016-11-08,-90.44691673570374,-7160.241906704916,6922.6164347592885
122,2016-11-09,-84.97147602009431,-6982.215458388931,6535.667481411186
123,2016-11-10,-79.66274737128904,-8583.629764695219,6907.275358790395
124,2016-11-11,-74.20856967215867,-7130.088875664913,6865.008357716974
125,2016-11-12,-68.93735602418373,-7187.7505094083035,7119.186047365089
126,2016-11-13,-63.44931451371638,-7387.3034522208645,7366.0933750043705
127,2016-11-14,-58.13094074690193,-7018.6699864028205,6939.49989693529
128,2016-11-15,-52.73008160504138,-7019.341518326232,6610.8702269475325
129,2016-11-16,-47.16197348668833,-6082.849504030634,6873.671309613857
130,2016-11-17,-41.610413384457395,-5988.013231347432,8664.975470155314
131,2016-11-18,-35.91090843992369,-9448.686550222796,6350.34571815867
132,2016-11-19,-30.215113364170566,-6964.2705952347205,8320.37467739186
133,2016-11-20,-24.345395143915063,-6196.676540079414,7483.680596746704
134,2016-11-21,-18.447516796796016,-7983.963351368573,7144.911588999727
135,2016-11-22,-12.417203836797523,-8125.038339904011,6227.206645007858
136,2016-11-23,-6.243332503490828,-6996.630396411098,6598.860211628437
137,2016-11-24,0.04502934163440417,-6553.089224530729,7105.9324246750875
138,2016-11-25,6.46501194007849,-6615.994072943253,7639.518038365773
139,2016-11-26,13.043802333444583,-6514.276666772246,6964.205837679574
140,2016-11-27,19.740155051883463,-6878.316614268173,7419.665570634774
141,2016-11-28,26.65286065104268,-7150.94624864292,7728.528386264941
142,2016-11-29,33.74198461539017,-7044.24011950492,6889.270534006227
143,2016-11-30,40.94784401406248,-6952.10530670332,6044.354016060464
144,2016-12-01,48.397460444548074,-7750.1483433715675,8095.729738972384
145,2016-12-02,55.95994118589025,-7583.281930427325,6467.974113671056
146,2016-12-03,63.83821010642505,-7817.900039985603,6767.946599335921
147,2016-12-04,71.76632323179247,-6507.969647905192,7204.163749608549
148,2016-12-05,80.07899439885004,-6843.729557645765,8239.625568209794
149,2016-12-06,88.58073298492262,-6922.930332222128,6351.543218455807
150,2016-12-07,97.12727140950251,-6167.65803075726,9122.275147353788
151,2016-12-08,105.98598448915003,-6455.968259575153,6937.833564946878
152,2016-12-09,114.86090564186351,-7624.219034557119,7402.057526663797
153,2016-12-10,124.11311999356111,-5910.812549539973,7272.353528836375
154,2016-12-11,133.2347883223901,-6508.437439769258,7347.620104921254
155,2016-12-12,142.7807071467539,-7161.317156456331,7016.240121175147
156,2016-12-13,152.3863515629941,-7136.785464895444,7687.98629969537
157,2016-12-14,161.81274074233534,-8225.397393100462,7734.666898580145
158,2016-12-15,171.46174247243638,-6712.2247881620115,7084.303887339403
159,2016-12-16,180.87152662249773,-7418.242020549293,6604.474362572376
160,2016-12-17,190.56626113911426,-6448.642456717669,7296.677444521138
161,2016-12-18,199.80728391838215,-6843.66844048792,7817.924304068334
162,2016-12-19,209.38690336311106,-5530.579911611941,7141.236780121746
163,2016-12-20,218.79529535518907,-7054.025926314377,7334.936234534342
164,2016-12-21,227.72848545912706,-6565.039521752029,7162.132289965652
165,2016-12-22,236.75794482818765,-6008.671467871895,6876.887182557587
